# fylite/ids-table/1
# dd_version 4.1.1
# ids gyrokinetics_local
# columns path kind ndim units coordinates same_as alternatives
linear/wavevector/eigenmode/moments_norm_particle	S	0				
linear/wavevector/eigenmode/moments_norm_particle/density	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_particle/j_parallel	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_particle/pressure_parallel	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_particle/pressure_perpendicular	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_particle/pressure	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_particle/heat_flux_parallel	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_particle/v_parallel_energy_perpendicular	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_particle/v_perpendicular_square_energy	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_gyrocenter_bessel_0	S	0				
linear/wavevector/eigenmode/moments_norm_gyrocenter_bessel_0/density	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_gyrocenter_bessel_0/j_parallel	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_gyrocenter_bessel_0/pressure_parallel	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_gyrocenter_bessel_0/pressure_perpendicular	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_gyrocenter_bessel_0/pressure	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_gyrocenter_bessel_0/heat_flux_parallel	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_gyrocenter_bessel_0/v_parallel_energy_perpendicular	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_gyrocenter_bessel_0/v_perpendicular_square_energy	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_gyrocenter_bessel_1	S	0				
linear/wavevector/eigenmode/moments_norm_gyrocenter_bessel_1/density	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_gyrocenter_bessel_1/j_parallel	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_gyrocenter_bessel_1/pressure_parallel	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_gyrocenter_bessel_1/pressure_perpendicular	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_gyrocenter_bessel_1/pressure	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_gyrocenter_bessel_1/heat_flux_parallel	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_gyrocenter_bessel_1/v_parallel_energy_perpendicular	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/moments_norm_gyrocenter_bessel_1/v_perpendicular_square_energy	C	3	1	species|linear/wavevector(i1)/eigenmode(i2)/angle_pol|linear/wavevector(i1)/eigenmode(i2)/time_norm		
linear/wavevector/eigenmode/linear_weights	S	0				
linear/wavevector/eigenmode/linear_weights/particles_phi_potential	F	1	1	species		
linear/wavevector/eigenmode/linear_weights/particles_a_field_parallel	F	1	1	species		
