# fylite/ids-table/1
# dd_version 4.1.1
# ids plasma_profiles
# columns path kind ndim units coordinates same_as alternatives
profiles_1d/ion/name	T	0				
profiles_1d/ion/neutral_index	I	0				
profiles_1d/ion/z_ion_1d	F	1	1	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion/z_ion_square_1d	F	1	1	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion/temperature	F	1	eV	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion/temperature_validity	I	0				
profiles_1d/ion/temperature_fit	S	0	eV			
profiles_1d/ion/temperature_fit/measured	F	1	mixed	1...N		
profiles_1d/ion/temperature_fit/source	T	1		profiles_1d(itime)/ion(i1)/temperature_fit/measured		
profiles_1d/ion/temperature_fit/time_measurement	F	1	s	profiles_1d(itime)/ion(i1)/temperature_fit/measured		
profiles_1d/ion/temperature_fit/time_measurement_slice_method	S	0				
profiles_1d/ion/temperature_fit/time_measurement_slice_method/name	T	0				
profiles_1d/ion/temperature_fit/time_measurement_slice_method/index	I	0				
profiles_1d/ion/temperature_fit/time_measurement_slice_method/description	T	0				
profiles_1d/ion/temperature_fit/time_measurement_width	F	1	s	profiles_1d(itime)/ion(i1)/temperature_fit/measured		
profiles_1d/ion/temperature_fit/local	I	1		profiles_1d(itime)/ion(i1)/temperature_fit/measured		
profiles_1d/ion/temperature_fit/rho_tor_norm	F	1	1	profiles_1d(itime)/ion(i1)/temperature_fit/measured		
profiles_1d/ion/temperature_fit/rho_pol_norm	F	1	1	profiles_1d(itime)/ion(i1)/temperature_fit/measured		
profiles_1d/ion/temperature_fit/weight	F	1	1	profiles_1d(itime)/ion(i1)/temperature_fit/measured		
profiles_1d/ion/temperature_fit/reconstructed	F	1	mixed	profiles_1d(itime)/ion(i1)/temperature_fit/measured		
profiles_1d/ion/temperature_fit/chi_squared	F	1	1	profiles_1d(itime)/ion(i1)/temperature_fit/measured		
profiles_1d/ion/temperature_fit/parameters	T	0				
profiles_1d/ion/density	F	1	m^-3	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion/density_validity	I	0				
profiles_1d/ion/density_fit	S	0	m^-3			
profiles_1d/ion/density_fit/measured	F	1	mixed	1...N		
profiles_1d/ion/density_fit/source	T	1		profiles_1d(itime)/ion(i1)/density_fit/measured		
profiles_1d/ion/density_fit/time_measurement	F	1	s	profiles_1d(itime)/ion(i1)/density_fit/measured		
profiles_1d/ion/density_fit/time_measurement_slice_method	S	0				
profiles_1d/ion/density_fit/time_measurement_slice_method/name	T	0				
profiles_1d/ion/density_fit/time_measurement_slice_method/index	I	0				
profiles_1d/ion/density_fit/time_measurement_slice_method/description	T	0				
profiles_1d/ion/density_fit/time_measurement_width	F	1	s	profiles_1d(itime)/ion(i1)/density_fit/measured		
profiles_1d/ion/density_fit/local	I	1		profiles_1d(itime)/ion(i1)/density_fit/measured		
profiles_1d/ion/density_fit/rho_tor_norm	F	1	1	profiles_1d(itime)/ion(i1)/density_fit/measured		
profiles_1d/ion/density_fit/rho_pol_norm	F	1	1	profiles_1d(itime)/ion(i1)/density_fit/measured		
profiles_1d/ion/density_fit/weight	F	1	1	profiles_1d(itime)/ion(i1)/density_fit/measured		
profiles_1d/ion/density_fit/reconstructed	F	1	mixed	profiles_1d(itime)/ion(i1)/density_fit/measured		
profiles_1d/ion/density_fit/chi_squared	F	1	1	profiles_1d(itime)/ion(i1)/density_fit/measured		
profiles_1d/ion/density_fit/parameters	T	0				
profiles_1d/ion/density_thermal	F	1	m^-3	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion/density_fast	F	1	m^-3	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion/pressure	F	1	Pa	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion/pressure_thermal	F	1	Pa	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion/pressure_fast_perpendicular	F	1	Pa	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion/pressure_fast_parallel	F	1	Pa	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion/rotation_frequency_tor	F	1	rad.s^-1	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion/velocity	S	0	m.s^-1			
profiles_1d/ion/velocity/radial	F	1	m.s^-1	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion/velocity/diamagnetic	F	1	m.s^-1	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion/velocity/parallel	F	1	m.s^-1	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion/velocity/poloidal	F	1	m.s^-1	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion/velocity/toroidal	F	1	m.s^-1	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion/multiple_states_flag	I	0				
profiles_1d/ion/state	A	1		1...N		
profiles_1d/ion/state/z_min	F	0	e			
profiles_1d/ion/state/z_max	F	0	e			
profiles_1d/ion/state/z_average	F	0	e			
profiles_1d/ion/state/z_square_average	F	0	e			
profiles_1d/ion/state/z_average_1d	F	1	1	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion/state/z_average_square_1d	F	1	1	profiles_1d(itime)/grid/rho_pol_norm		
profiles_1d/ion/state/ionisation_potential	F	0	eV			
profiles_1d/ion/state/name	T	0				
profiles_1d/ion/state/electron_configuration	T	0				
